month,monitoring_window_months,reference_period,monitoring_period,monthly_average_price,trigger_price,ccm_triggered,contract_reference,currency,source,source_url,downloaded_at,published_at,notes
2021-08,3,1 May 2019 - 30 Apr 2021,"May, June, July",44.15,44.74,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2021-09,3,1 June 2019 - 31 May 2021,"June, July, Aug",48.55,45.9,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2021-10,3,1 July 2019 - 30 June 2021,"July, Aug, Sep",58.36,48.37,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2021-11,3,1 Aug 2019 - 31 July 2021,"Aug, Sep, Oct",60.98,50.37,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2021-12,3,1 Sep 2019 - 31 Aug 2021,"Sep, Oct, Nov",60.5,52.88,Yes,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2022-01,3,1 Oct 2019 - 30 Sep 2021,"Oct, Nov, Dec",74.87,56.58,Yes,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2022-02,3,1 Nov 2019 - 31 Oct 2021,"Nov, Dec, Jan",76.7,75.76,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2022-03,3,1 Dec 2019 - 30 Nov 2021,"Dec, Jan, Feb",84.85,80.9,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2022-04,3,1 Jan 2020 - 31 Dec 2021,"Jan, Feb, Mar",75.9,87.99,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2022-05,3,1 Feb 2020 - 31 Jan 2022,"Feb, Mar, Apr",77.9,95.06,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2022-06,3,1 Mar 2020 - 28 Feb 2022,"Mar, Apr, May",83.71,102.74,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2022-07,3,1 Apr 2020 - 31 Mar 2022,"Apr, May, Jun",82.04,110.55,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2022-08,3,1 May 2020 - 30 Apr 2022,"May, Jun, Jul",80.93,117.71,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2022-09,3,1 Jun 2020 - 31 May 2022,"Jun, Jul, Aug",89.05,126.13,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2022-10,3,1 Jul 2020 - 30 Jun 2022,"Jul, Aug, Sep",79.41,134.06,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2022-11,3,1 Aug 2020 - 31 Jul 2022,"Aug, Sep, Oct",72.96,141.41,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2022-12,3,1 Sep 2020 - 31 Aug 2022,"Sep, Oct, Nov",70.5,149.86,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2023-01,3,1 Oct 2020 - 30 Sep 2022,"Oct, Nov, Dec",77.58,156.91,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 3-month monitoring period; blank values indicate GOV.UK TBD rows.
2023-02,6,1 Aug 2020 - 31 Jul 2022,"Aug, Sep, Oct, Nov, Dec, Jan",69.09,169.69,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 6-month monitoring period; blank values indicate GOV.UK TBD rows.
2023-03,6,1 Sep 2020 - 31 Aug 2022,"Sep, Oct, Nov, Dec, Jan, Feb",82.82,179.83,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 6-month monitoring period; blank values indicate GOV.UK TBD rows.
2023-04,6,1 Oct 2020 - 30 Sep 2022,"Oct, Nov, Dec, Jan, Feb, Mar",77.23,188.3,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 6-month monitoring period; blank values indicate GOV.UK TBD rows.
2023-05,6,1 Nov 2020 - 31 Oct 2022,"Nov, Dec, Jan, Feb, Mar, Apr",68.92,196.08,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 6-month monitoring period; blank values indicate GOV.UK TBD rows.
2023-06,6,1 Dec 2020 - 30 Nov 2022,"Dec, Jan, Feb, Mar, Apr, May",57.68,203.09,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 6-month monitoring period; blank values indicate GOV.UK TBD rows.
2023-07,6,19 May 2021 - 31 Dec 2022,"Jan, Feb, Mar, Apr, May, Jun",54.77,210.76,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 6-month monitoring period; blank values indicate GOV.UK TBD rows.
2023-08,6,19 May 2021 - 31 Jan 2023,"Feb, Mar, Apr, May, Jun, Jul",49.79,210.59,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 6-month monitoring period; blank values indicate GOV.UK TBD rows.
2023-09,6,19 May 2021 - 28 Feb 2023,"Mar, Apr, May, Jun, Jul, Aug",43.62,212.23,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 6-month monitoring period; blank values indicate GOV.UK TBD rows.
2023-10,6,19 May 2021 - 31 Mar 2023,"Apr, May, Jun, Jul, Aug, Sep",39.16,213.15,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 6-month monitoring period; blank values indicate GOV.UK TBD rows.
2023-11,6,19 May 2021 - 30 Apr 2023,"May, Jun, Jul, Aug, Sep, Oct",43.48,212.91,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 6-month monitoring period; blank values indicate GOV.UK TBD rows.
2023-12,6,1 Jun 2021 - 31 May 2023,"Jun, Jul, Aug, Sep, Oct, Nov",41.89,212.28,No,,GBP,GOV.UK UK ETS Cost Containment Mechanism table,https://www.gov.uk/government/publications/taking-part-in-the-uk-emissions-trading-scheme-markets/cost-containment-mechanism-ccm-trigger-prices-and-average-monthly-prices-full-table,2026-07-07T10:21Z,2026-07-02,Official GOV.UK CCM table. Monthly average price is the final monthly average in the 6-month monitoring period; blank values indicate GOV.UK TBD rows.
