market,auction_date,auction_volume,clearing_price,currency,cover_ratio,reference_price,source,source_url,notes
UKA,2024-10-03,2450000,42.2,GBP,1.42,42.7,Curated public auction sample,https://www.gov.uk/government/collections/uk-emissions-trading-scheme,Sample values for public portfolio demonstration
UKA,2024-10-24,2465000,43.4,GBP,1.4,43.9,Curated public auction sample,https://www.gov.uk/government/collections/uk-emissions-trading-scheme,Sample values for public portfolio demonstration
UKA,2024-11-14,2480000,41.8,GBP,1.38,42.3,Curated public auction sample,https://www.gov.uk/government/collections/uk-emissions-trading-scheme,Sample values for public portfolio demonstration
UKA,2024-12-05,2495000,40.7,GBP,1.37,41.2,Curated public auction sample,https://www.gov.uk/government/collections/uk-emissions-trading-scheme,Sample values for public portfolio demonstration
UKA,2024-12-26,2510000,39.6,GBP,1.35,40.1,Curated public auction sample,https://www.gov.uk/government/collections/uk-emissions-trading-scheme,Sample values for public portfolio demonstration
UKA,2025-01-16,2525000,38.9,GBP,1.33,39.4,Curated public auction sample,https://www.gov.uk/government/collections/uk-emissions-trading-scheme,Sample values for public portfolio demonstration
UKA,2025-02-06,2540000,37.8,GBP,1.31,37.5,Curated public auction sample,https://www.gov.uk/government/collections/uk-emissions-trading-scheme,Sample values for public portfolio demonstration
UKA,2025-02-27,2555000,36.4,GBP,1.29,36.1,Curated public auction sample,https://www.gov.uk/government/collections/uk-emissions-trading-scheme,Sample values for public portfolio demonstration
UKA,2025-03-20,2570000,35.9,GBP,1.28,35.6,Curated public auction sample,https://www.gov.uk/government/collections/uk-emissions-trading-scheme,Sample values for public portfolio demonstration
UKA,2025-04-10,2585000,35.1,GBP,1.26,34.8,Curated public auction sample,https://www.gov.uk/government/collections/uk-emissions-trading-scheme,Sample values for public portfolio demonstration
UKA,2025-05-01,2600000,34.6,GBP,1.24,34.3,Curated public auction sample,https://www.gov.uk/government/collections/uk-emissions-trading-scheme,Sample values for public portfolio demonstration
UKA,2025-05-22,2615000,33.8,GBP,1.22,33.5,Curated public auction sample,https://www.gov.uk/government/collections/uk-emissions-trading-scheme,Sample values for public portfolio demonstration
