datetime,carbon_intensity_gco2_kwh,gas_share,wind_share,solar_share,nuclear_share,biomass_share,hydro_share,imports_share,coal_share,other_share
2026-08-30T10:30Z,84.0,10.0,12.9,23.0,19.0,12.4,0.0,22.6,0.0,0.0
2026-08-30T11:00Z,84.0,9.9,13.3,23.3,19.4,11.9,0.0,22.1,0.0,0.0
2026-08-30T11:30Z,91.0,10.2,13.8,23.4,19.3,11.2,0.0,22.2,0.0,0.0
2026-08-30T12:00Z,90.0,10.9,14.8,23.5,18.9,11.1,0.0,20.7,0.0,0.0
2026-08-30T12:30Z,88.0,11.0,15.8,23.1,18.2,10.7,0.0,21.2,0.0,0.0
2026-08-30T13:00Z,92.0,11.4,16.8,22.7,18.1,10.4,0.0,20.6,0.0,0.0
2026-08-30T13:30Z,92.0,12.1,18.1,22.2,18.0,10.0,0.0,19.6,0.0,0.0
2026-08-30T14:00Z,100.0,12.7,20.3,21.9,17.9,10.2,0.0,17.0,0.0,0.0
2026-08-30T14:30Z,107.0,15.3,21.6,19.9,17.2,9.8,0.0,16.2,0.0,0.0
2026-08-30T15:00Z,115.0,16.9,22.8,17.5,17.2,9.9,0.0,15.7,0.0,0.0
2026-08-30T15:30Z,120.0,20.9,22.7,14.1,16.9,9.3,0.0,16.1,0.0,0.0
2026-08-30T16:00Z,121.0,23.1,24.0,11.5,16.8,9.4,0.0,15.1,0.0,0.0
2026-08-30T16:30Z,120.0,26.1,25.7,9.1,16.9,9.5,0.0,12.7,0.0,0.0
2026-08-30T17:00Z,121.0,28.9,27.8,7.2,16.7,9.9,0.0,9.6,0.0,0.0
2026-08-30T17:30Z,129.0,30.0,28.7,4.3,17.4,10.3,0.0,9.2,0.0,0.0
2026-08-30T18:00Z,136.0,32.5,29.7,2.0,17.4,10.5,0.0,7.9,0.0,0.0
2026-08-30T18:30Z,144.0,33.4,30.4,0.9,17.5,10.4,0.0,7.4,0.0,0.0
2026-08-30T19:00Z,135.0,33.8,30.8,0.1,17.3,10.6,0.0,7.4,0.0,0.0
2026-08-30T19:30Z,130.0,33.2,30.6,0.0,17.8,10.5,0.0,7.8,0.0,0.0
2026-08-30T20:00Z,129.0,31.8,31.1,0.0,18.3,10.7,0.0,8.1,0.0,0.0
2026-08-30T20:30Z,126.0,30.3,31.8,0.0,18.7,11.0,0.0,8.2,0.0,0.0
2026-08-30T21:00Z,123.0,28.2,33.1,0.0,19.7,11.4,0.0,7.7,0.0,0.0
2026-08-30T21:30Z,99.0,24.2,34.2,0.0,21.0,11.8,0.0,8.7,0.0,0.0
2026-08-30T22:00Z,86.0,20.9,36.0,0.0,22.1,12.4,0.0,8.5,0.0,0.0
2026-08-30T22:30Z,91.0,19.9,36.1,0.0,22.4,12.4,0.0,9.2,0.0,0.0
2026-08-30T23:00Z,86.0,20.1,35.7,0.0,22.4,12.1,0.0,9.7,0.0,0.0
2026-08-30T23:30Z,85.0,21.4,35.9,0.0,22.5,11.9,0.0,8.3,0.0,0.0
2026-08-31T00:00Z,86.0,22.0,36.0,0.0,22.5,11.4,0.0,8.0,0.0,0.0
2026-08-31T00:30Z,86.0,24.0,35.2,0.0,22.4,11.3,0.0,7.0,0.0,0.0
2026-08-31T01:00Z,83.0,24.3,36.4,0.0,22.7,11.6,0.0,5.0,0.0,0.0
2026-08-31T01:30Z,90.0,25.3,36.8,0.0,22.5,11.7,0.0,3.7,0.0,0.0
2026-08-31T02:00Z,87.0,25.8,38.0,0.0,22.1,12.0,0.0,2.0,0.0,0.0
2026-08-31T02:30Z,88.0,33.5,33.9,0.0,21.3,10.4,0.0,1.0,0.0,0.0
2026-08-31T03:00Z,90.0,35.5,32.7,0.0,21.0,9.7,0.0,1.1,0.0,0.0
2026-08-31T03:30Z,79.0,36.7,32.5,0.0,20.3,9.4,0.0,1.1,0.0,0.0
2026-08-31T04:00Z,82.0,37.1,33.2,0.0,19.6,9.4,0.0,0.7,0.0,0.0
2026-08-31T04:30Z,92.0,37.8,33.4,0.0,19.2,9.3,0.0,0.2,0.0,0.0
2026-08-31T05:00Z,92.0,37.6,33.5,0.5,18.7,9.2,0.0,0.6,0.0,0.0
2026-08-31T05:30Z,81.0,39.0,32.6,1.2,18.3,8.0,0.0,0.9,0.0,0.0
2026-08-31T06:00Z,78.0,38.0,32.5,2.9,17.0,8.0,0.0,1.6,0.0,0.0
2026-08-31T06:30Z,73.0,35.0,32.5,6.6,16.1,7.7,0.0,2.2,0.0,0.0
2026-08-31T07:00Z,70.0,33.8,31.6,9.1,15.0,6.7,0.0,3.9,0.0,0.0
2026-08-31T07:30Z,70.0,30.1,30.5,11.6,14.7,6.3,0.0,6.8,0.0,0.0
2026-08-31T08:00Z,65.0,26.4,30.6,14.5,14.3,6.0,0.0,8.1,0.0,0.0
2026-08-31T08:30Z,64.0,21.3,32.2,17.6,13.8,6.1,0.0,9.1,0.0,0.0
2026-08-31T09:00Z,60.0,19.1,32.4,19.9,13.6,5.8,0.0,9.0,0.0,0.0
2026-08-31T09:30Z,57.0,17.5,33.2,21.6,13.2,5.8,0.0,8.7,0.0,0.0
2026-08-31T10:00Z,54.0,16.5,34.2,22.9,13.1,5.8,0.0,7.4,0.0,0.0
2026-08-31T10:30Z,53.0,14.7,35.2,23.6,13.0,5.9,0.0,7.6,0.0,0.0
2026-08-31T11:00Z,52.0,13.8,35.6,23.8,12.9,5.7,0.0,8.2,0.0,0.0
2026-08-31T11:30Z,52.0,14.2,36.1,23.8,12.6,5.3,0.0,8.1,0.0,0.0
2026-08-31T12:00Z,54.0,15.0,36.5,23.6,12.5,4.7,0.0,7.7,0.0,0.0
2026-08-31T12:30Z,51.0,15.3,37.0,23.3,12.3,4.6,0.0,7.4,0.0,0.0
2026-08-31T13:00Z,50.0,15.1,37.3,22.8,12.6,4.7,0.0,7.5,0.0,0.0
2026-08-31T13:30Z,54.0,16.0,37.0,21.7,12.4,5.3,0.0,7.6,0.0,0.0
2026-08-31T14:00Z,61.0,16.5,37.6,20.8,12.4,5.4,0.0,7.2,0.0,0.0
2026-08-31T14:30Z,70.0,18.3,37.6,19.2,12.7,4.9,0.0,7.3,0.0,0.0
2026-08-31T15:00Z,78.0,19.4,38.5,17.4,12.9,4.3,0.0,7.4,0.0,0.0
2026-08-31T15:30Z,90.0,21.4,39.4,15.0,12.8,4.5,0.0,6.9,0.0,0.0
2026-08-31T16:00Z,99.0,24.6,39.2,12.2,12.8,4.6,0.0,6.5,0.0,0.0
2026-08-31T16:30Z,118.0,26.3,39.2,9.8,13.1,4.8,0.0,6.8,0.0,0.0
2026-08-31T17:00Z,125.0,28.8,40.2,7.8,13.6,5.2,0.0,4.4,0.0,0.0
2026-08-31T17:30Z,124.0,30.8,40.8,5.0,14.3,5.5,0.0,3.5,0.0,0.0
2026-08-31T18:00Z,131.0,31.1,40.8,2.3,15.3,6.3,0.0,4.1,0.0,0.0
2026-08-31T18:30Z,129.0,31.4,41.5,1.0,15.5,7.2,0.0,3.4,0.0,0.0
2026-08-31T19:00Z,122.0,30.2,43.0,0.0,15.8,7.7,0.0,3.3,0.0,0.0
