certificate_id,batch_id,asset_name,technology,country,generation_start,generation_end,issue_date,received_date,allocated_date,retired_date,status,quantity_mwh,counterparty,contract_id,account,last_updated,source_file
REG-WIND-0001,BATCH-WIN-000,Wind Asset 1,Wind,GB,2024-04-01,2024-04-30,2024-05-16,2024-05-21,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0002,BATCH-WIN-000,Wind Asset 2,Wind,GB,2024-05-01,2024-05-30,2024-06-15,2024-06-20,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0003,BATCH-WIN-000,Wind Asset 3,Wind,GB,2024-05-31,2024-06-29,2024-07-15,2024-07-20,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0004,BATCH-WIN-000,Wind Asset 4,Wind,GB,2024-06-30,2024-07-29,2024-08-14,2024-08-19,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0005,BATCH-WIN-000,Wind Asset 5,Wind,GB,2024-07-30,2024-08-28,2024-09-13,2024-09-18,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0006,BATCH-WIN-000,Wind Asset 6,Wind,GB,2024-08-29,2024-09-27,2024-10-13,2024-10-18,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0007,BATCH-WIN-000,Wind Asset 7,Wind,GB,2024-09-28,2024-10-27,2024-11-12,2024-11-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0008,BATCH-WIN-000,Wind Asset 8,Wind,GB,2024-10-28,2024-11-26,2024-12-12,2024-12-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0009,BATCH-WIN-000,Wind Asset 9,Wind,GB,2024-11-27,2024-12-26,2025-01-11,2025-01-16,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0010,BATCH-WIN-000,Wind Asset 1,Wind,GB,2024-12-27,2025-01-25,2025-02-10,2025-02-15,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0011,BATCH-WIN-001,Wind Asset 2,Wind,GB,2025-01-26,2025-02-24,2025-03-12,2025-03-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0012,BATCH-WIN-001,Wind Asset 3,Wind,GB,2025-02-25,2025-03-26,2025-04-11,2025-04-16,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0013,BATCH-WIN-001,Wind Asset 4,Wind,GB,2024-04-01,2024-04-30,2024-05-16,2024-05-21,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0014,BATCH-WIN-001,Wind Asset 5,Wind,GB,2024-05-01,2024-05-30,2024-06-15,2024-06-20,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0015,BATCH-WIN-001,Wind Asset 6,Wind,GB,2024-05-31,2024-06-29,2024-07-15,2024-07-20,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0016,BATCH-WIN-001,Wind Asset 7,Wind,GB,2024-06-30,2024-07-29,2024-08-14,2024-08-19,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
